N/A,Pinyin,Definition,Radical,stroke_count,hsk_level,id_in_standard_specification,frequency_rank,converted_pinyin,raw_pinyin
八,bā,eight/all around/all sides,八,2,1,9,451.0,ba1,ba
吗,ma,final interrogative particle,口,6,1,432,453.0,ma5,ma
吃,chī,eat/drink/suffer/endure/bear,口,6,1,429,475.0,chi1,chi
六,liù,number six,八,4,1,160,478.0,liu4,liu
医,yī,cure/heal/doctor/medical,匸,7,1,700,482.0,yi4,yi
号,hào,mark/sign/symbol/number,口,5,1,243,487.0,hao4,hao
语,yǔ,language/words/saying/expression,言,9,1,1707,493.0,yu3,yu
七,qī,seven,一,2,1,7,530.0,qi1,qi
兴,xìng,thrive/prosper/flourish,八,6,1,544,531.0,xing1,xing
星,xīng,a star/planet/any point of light,日,9,1,1488,537.0,xing1,xing
京,jīng,capital city,亠,8,1,1205,566.0,jing1,jing
米,mǐ,hulled or husked uncooked rice,米,6,1,533,575.0,mi3,mi
客,kè,guest/traveller/customer,宀,9,1,1703,583.0,ke4,ke
友,yǒu,friend/companion/fraternity,又,4,1,97,594.0,you3,you
钱,qián,money/currency/coins,金,10,1,1928,603.0,qian2,qian
热,rè,hot/heat/fever/restless/zeal,火,10,1,1809,606.0,re4,re
坐,zuò,sit/seat/ride/travel by,土,7,1,797,611.0,zuo4,zuo
校,xiào,school/military field officer,木,10,1,1847,633.0,xiao4,xiao
脑,nǎo,brain,肉,10,1,2001,646.0,nao3,nao
谁,shuí,who? whom? whose? anyone?,言,10,1,2122,648.0,shui2,shui
哪,nǎ,which? where? how?,口,9,1,1515,652.0,na3,na
喜,xǐ,like/love/enjoy/joyful thing,口,12,1,2523,668.0,xi3,xi
习,xí,practice/flapping wings,冫,3,1,70,676.0,xi2,xi
欢,huān,happy/pleased/glad/joy/enjoy,欠,6,1,587,685.0,huan1,huan
冷,lěng,cold/cool/lonely,冫,7,1,838,700.0,leng3,leng
汉,hàn,Chinese people/Chinese language,水,5,1,311,711.0,han4,yi
衣,yī,clothes/clothing/cover/skin,衣,6,1,520,725.0,yi1,yi
妈,mā,mother/mama,女,6,1,583,750.0,ma1,ma
读,dú,read/study/pronounce,言,10,1,2112,752.0,du2,du
买,mǎi,buy/purchase/bribe/persuade,大,6,1,588,758.0,mai3,mai
岁,suì,year/age/harvest,山,6,1,436,772.0,sui4,sui
块,kuài,piece/lump/dollar,土,7,1,652,793.0,kuai4,kuai
姐,jiě,elder sister/young lady,女,8,1,1326,830.0,jie3,jie
亮,liàng,bright/brilliant/radiant/light,亠,9,1,1621,840.0,liang4,liang
朋,péng,friend/pal/acquaintance,月,8,1,1185,882.0,peng2,peng
谢,xiè,thank/decline,言,12,1,2795,897.0,xie4,xie
钟,zhōng,clock/bell,金,9,1,1528,905.0,zhong1,zhong
雨,yǔ,rain/rainy/KangXi radical 173,雨,8,1,1041,928.0,yu3,yu
饭,fàn,cooked rice/food/meal,食,7,1,823,935.0,fan4,fan
睡,shuì,sleep/doze,目,13,1,2900,964.0,shui4,shui
喝,hē,drink/shout/call out,口,12,1,2639,983.0,he1,he
午,wǔ,noon/7th terrestrial branch,十,4,1,119,1004.0,wu3,wu
店,diàn,shop/store/inn/hotel,广,8,1,1208,1041.0,dian4,dian
爸,bà,father/papa,父,8,1,1171,1050.0,ba4,ba
桌,zhuō,table/desk/stand,木,10,1,1881,1193.0,zhuo1,zhuo
菜,cài,vegetables/dish/order/food,艸,11,1,2207,1266.0,cai4,cai
茶,chá,tea,艸,9,1,1411,1272.0,cha2,cha
狗,gǒu,dog/canis familiaris,犬,8,1,1198,1281.0,gou3,gou
杯,bēi,cup/glass,木,8,1,1020,1396.0,bei1,bei
租,zū,rent/lease/rental/tax,禾,10,1,1944,1397.0,zu1,zu
昨,zuó,yesterday/in former times/past,日,9,1,1489,1475.0,zuo2,zuo
漂,piào,float/drift/tossed about,水,14,1,3163,1568.0,piao1,piao
椅,yǐ,chair/seat,木,12,1,2569,1663.0,yi3,yi
猫,māo,cat,犬,11,1,2367,1673.0,mao1,mao
喂,wèi,interjection to call attention,口,12,1,2641,1988.0,wei4,wei
苹,píng,artemisia/duckweed/apple,艸,8,1,1004,2478.0,ping2,ping
为,wèi,do/handle/govern/act/be,丶,4,2,165,18.0,wei4,wei
到,dào,go to/arrive/been to,刀,8,2,1063,22.0,dao4,dao
以,yǐ,by means of/thereby/therefore/consider as/in order to,人,4,2,182,23.0,yi3,yi
要,yào,necessary/essential/necessity,襾,9,2,1441,26.0,yao4,yao
就,jiù,just/simply/to come/go to/to approach/near,尢,12,2,2728,27.0,jiu4,jiu
可,kě,may/can/-able/possibly,口,5,2,212,30.0,ke3,ke
也,yě,also/classical final particle of strong affirmation or identity,乙,3,2,66,31.0,ye3,ye
得,dé,obtain/get/gain/acquire,彳,11,2,2341,39.0,de2,de
着,zhe,make move/take action,目,11,2,2398,41.0,zhao2,zhao
过,guò,pass/pass through/go across,辵,6,2,379,46.0,guo4,guo
道,dào,path/road/street/method/way,辵,12,2,2745,52.0,dao4,dao
所,suǒ,place/location/numerary adjunct,戶,8,2,1164,54.0,suo3,suo
然,rán,yes/certainly/pledge/promise,火,12,2,2723,55.0,ran2,ran
事,shì,affair/matter/business/to serve/accident/incident,亅,8,2,1038,58.0,shi4,shi
经,jīng,classic works/pass through,糸,8,2,1350,62.0,jing1,jing
动,dòng,move/happen/movement/action,力,6,2,353,73.0,dong4,dong
还,hái,still/yet/also/besides,辵,7,2,704,80.0,huan2,huan
进,jìn,advance/make progress/enter,辵,7,2,605,81.0,jin4,jin
但,dàn,only/but/however/yet/still,人,7,2,774,95.0,dan4,dan
因,yīn,cause/reason/by/because (of),囗,6,2,430,96.0,yin1,yin
从,cóng,from/by/since/whence/through,人,4,2,142,98.0,cong2,cong
日,rì,sun/day/daytime,日,4,2,112,101.0,ri4,ri
意,yì,thought/idea/opinion/think,心,13,2,2996,104.0,yi4,yi
它,tā,it/other,宀,5,2,314,107.0,ta1,ta
长,zhǎng,long/length/excel in/leader,長,4,2,127,109.0,chang2,chang
第,dì,sequence/number/grade/degree,竹,11,2,2322,114.0,di4,di
公,gōng,fair/equitable/public/duke,八,4,2,148,115.0,gong1,gong
已,yǐ,already/finished/stop,己,3,2,61,117.0,yi3,yi
情,qíng,feeling/sentiment/emotion,心,11,2,2438,120.0,qing2,qing
知,zhī,know/perceive/comprehend,矢,8,2,1122,123.0,zhi1,zhi
正,zhèng,right/proper/correct,止,5,2,198,129.0,zheng4,zheng
外,wài,out/outside/external/foreign,夕,5,2,293,131.0,wai4,wai
两,liǎng,two/both/pair/couple/ounce,一,7,2,697,133.0,liang3,liang
间,jiān,midpoint/space/place/locality,門,7,2,847,135.0,jian1,jian
问,wèn,ask about/inquire after,門,6,2,528,137.0,wen4,wen
最,zuì,most/extremely/exceedingly,曰,12,2,2614,139.0,zui4,zui
手,shǒu,hand,手,4,2,121,143.0,shou3,shou
体,tǐ,body/group/class/body/unit/inferior,人,7,2,770,149.0,ti3,ti
等,děng,,竹,12,2,2681,158.0,deng3,deng
新,xīn,new/recent/fresh/modern,斤,13,2,2994,161.0,xin1,xin
身,shēn,body/trunk/hull/rad. no. 158,身,7,2,786,164.0,shen1,shen
表,biǎo,show/express/manifest/display,衣,8,2,951,177.0,biao3,biao
给,gěi,give/by/for,糸,9,2,1758,180.0,gei3,gei
次,cì,order/sequence/next,欠,6,2,521,183.0,ci4,ci
门,mén,gate/door/entrance/opening,門,3,2,55,185.0,men2,men
常,cháng,common/normal/frequent/regular,巾,11,2,2257,187.0,chang2,chang
教,jiào,teach/class,攴,11,2,2179,191.0,jiao4,jiao
比,bǐ,to compare/liken/comparison/than,比,4,2,105,199.0,bi3,bi
员,yuán,member/personnel/staff member,口,7,2,737,200.0,yuan2,yuan
真,zhēn,real/actual/true/genuine,目,10,2,1832,204.0,zhen1,zhen
走,zǒu,walk/go on foot/run/leave,走,7,2,625,207.0,zou3,zou
条,tiáo,clause/condition/string/stripe,木,7,2,816,214.0,tiao2,tiao
题,tí,forehead/title/headline/theme,頁,15,2,3233,218.0,ti2,ti
别,bié,separate/other/do not,刀,7,2,751,222.0,bie2,bie
报,bào,report/tell/announce,手,7,2,656,234.0,bao4,bao
务,wù,affairs/business/must/should,夂,5,2,297,245.0,wu4,wu
场,chǎng,open space/field/market,土,6,2,367,249.0,chang2,chang
件,jiàn,numerary adjunct for article/matter,人,6,2,466,250.0,jian4,jian
便,biàn,convenience/ease/expedient,人,9,2,1556,271.0,bian4,bian
司,sī,take charge of/control/manage/officer,口,5,2,325,278.0,si1,si
眼,yǎn,eye/eyelet/hole/opening,目,11,2,2263,281.0,yan3,yan
非,fēi,not/negative/non-/oppose,非,8,2,1064,283.0,fei1,fei
白,bái,white/pure/unblemished/bright,白,5,2,275,286.0,bai2,bai
思,sī,think/consider/ponder/final particle,心,9,2,1500,298.0,si1,si
完,wán,complete/finish/settle/whole,宀,7,2,877,301.0,wan2,wan
色,sè,color/tint/hue/shade/form/body/beauty/desire for beauty,色,6,2,509,304.0,se4,se
路,lù,road/path/street/journey,足,13,2,2918,305.0,lu4,lu
告,gào,tell/announce/inform/accuse,口,7,2,760,310.0,gao4,gao
边,biān,edge/margin/side/border,辵,5,2,337,316.0,bian1,bian
望,wàng,to look at/look forward/to hope/expect,月,11,2,2394,326.0,wang4,wang
共,gòng,together with/all/total/to share,八,6,2,371,330.0,gong4,gong
让,ràng,allow/permit/yield/concede,言,5,2,317,339.0,rang4,rang
运,yùn,run/simplified form of 運 luck/fortune/ship/transport,辵,7,2,611,345.0,yun4,yun
笑,xiào,smile/laugh/giggle/snicker,竹,10,2,1952,346.0,xiao4,xiao
步,bù,step/pace/walk/stroll,止,7,2,710,349.0,bu4,bu
每,měi,every/each,毋,7,2,767,359.0,mei3,mei
快,kuài,rapid/quick/speedy/fast/soon,心,7,2,876,366.0,kuai4,kuai
往,wǎng,go/depart/past/formerly,彳,8,2,1160,369.0,wang3,wang
近,jìn,near/close/approach/intimate,辵,7,2,791,374.0,jin4,jin
夫,fū,man/male adult/husband/those,大,4,2,79,377.0,fu1,fu
准,zhǔn,approve/allow/permit/in accord,冫,10,2,2024,379.0,zhun3,zhun
始,shǐ,begin/start/then/only then,女,8,2,1329,381.0,shi3,shi
远,yuǎn,distant/remote/far/profound,辵,7,2,608,386.0,yuan3,yuan
备,bèi,prepare/ready/perfect,夂,8,2,1200,397.0,bei4,bei
百,bǎi,one hundred/numerous/many,白,6,2,389,407.0,bai3,bai
离,lí,rare beast/strange/elegant,禸,10,2,2035,418.0,li2,chi
病,bìng,illness/sickness/disease,疒,10,2,2027,427.0,bing4,bing
息,xī,rest/put stop to/end/cease,心,10,2,1973,428.0,xi1,xi
火,huǒ,fire/flame/burn/anger/rage,火,4,2,164,433.0,huo3,huo
早,zǎo,early/soon/morning,日,6,2,419,462.0,zao3,zao
找,zhǎo,search/seek/look for/find,手,7,2,621,466.0,zhao3,zhao
吧,ba,emphatic final particle,口,7,2,747,470.0,ba5,ba
考,kǎo,examine/test/investigate,老,6,2,358,495.0,kao3,kao
红,hóng,red/vermillion/blush/flush,糸,6,2,589,502.0,hong2,hong
虽,suī,although/even if,虫,9,2,1502,504.0,sui1,sui
希,xī,rare/hope/expect/strive for,巾,7,2,796,508.0,xi1,xi
房,fáng,house/building/room,戶,8,2,1290,512.0,fang2,fang
黑,hēi,black/dark/evil/sinister,黑,12,2,2655,519.0,hei1,hei
足,zú,foot/attain/satisfy/enough,足,7,2,731,527.0,zu2,zu
孩,hái,baby/child/children,子,9,2,1730,533.0,hai2,hai
站,zhàn,stand up/a stand/station,立,10,2,2041,544.0,zhan4,zhan
诉,sù,accuse/sue/inform/narrate,言,7,2,894,595.0,su4,su
千,qiān,thousand/many/numerous/very/(Cant.) a cheater/swindler,十,3,2,41,599.0,qian1,qian
男,nán,male/man/son/baron/surname,田,7,2,733,602.0,nan2,nan
助,zhù,help/aid/assist,力,7,2,719,607.0,zhu4,zhu
乐,lè,happy/glad/enjoyable/music,丿,5,2,287,619.0,le4,le
球,qiú,ball/sphere/globe/round,玉,11,2,2155,628.0,qiu2,qiu
错,cuò,error/blunder/mistake/wrong,金,13,2,2936,638.0,cuo4,cuo
晚,wǎn,night/evening/late,日,11,2,2270,641.0,wan3,wan
