N/A,Pinyin,Definition,Radical,stroke_count,hsk_level,id_in_standard_specification,frequency_rank,converted_pinyin,raw_pinyin
结,jié,knot/tie/join/connect,糸,9,3,1754,236.0,jie2,jie
目,mù,eye/look/see/division/topic,目,5,3,236,239.0,mu4,mu
感,gǎn,feel/perceive/emotion,心,13,3,2875,243.0,gan3,gan
接,jiē,receive/continue/catch/connect,手,11,3,2185,247.0,jie1,jie
必,bì,surely/most certainly/must,心,5,3,321,248.0,bi4,bi
市,shì,market/fair/city/town/trade,巾,5,3,301,254.0,shi4,shi
直,zhí,straight/erect/vertical,目,8,3,1011,255.0,zhi2,zhi
山,shān,mountain/hill/peak,山,3,3,39,259.0,shan1,shan
空,kōng,empty/hollow/bare/deserted,穴,8,3,1282,272.0,kong1,kong
决,jué,decide/determine/judge,冫,6,3,523,273.0,jue2,jue
马,mǎ,horse/surname/KangXi radical 187,馬,3,3,72,276.0,ma3,ma
界,jiè,boundary/limit/domain/society/the world,田,9,3,1496,288.0,jie4,jie
放,fàng,put/release/free/liberate,攴,8,3,1223,291.0,fang4,fang
像,xiàng,a picture/image/figure/to resemble,人,13,3,2961,294.0,xiang4,xiang
且,qiě,moreover/also (post-subject)/about to/will soon (pre-verb),一,5,3,237,296.0,qie3,qie
难,nán,difficult/arduous/hard/unable,又,10,3,2147,295.0,nan2,nan
记,jì,record/keep in mind/remember,言,5,3,323,306.0,ji4,ji
南,nán,south/southern part/southward,十,9,3,1422,307.0,nan2,nan
求,qiú,seek/demand/request/beseech,水,7,3,690,312.0,qiu2,qiu
据,jù,to occupy/take possession of/a base/position,手,11,3,2189,313.0,ju4,ju
张,zhāng,stretch/extend/expand/sheet,弓,7,3,909,318.0,zhang1,zhang
该,gāi,should/ought to/need to,言,8,3,1300,319.0,gai1,gai
万,wàn,ten thousand/innumerable,一,3,3,35,322.0,wan4,mo
清,qīng,clear/pure/clean/peaceful,水,11,3,2410,335.0,qing1,qing
带,dài,belt/girdle/band/strap/zone,巾,9,3,1407,342.0,dai4,dai
风,fēng,wind/air/manners/atmosphere,風,4,3,154,348.0,feng1,feng
根,gēn,root/base(d on)/foundation,木,10,3,1850,352.0,gen1,gen
干,gàn,oppose/offend/invade/dried,干,3,3,23,353.0,gan1,gan
极,jí,extreme/utmost/furthest/final,木,7,3,687,363.0,ji2,ji
办,bàn,manage/do/handle/deal with,力,4,3,181,367.0,ban4,ban
议,yì,consult/talk over/discuss,言,5,3,320,368.0,yi4,yi
元,yuán,first/dollar/origin/head,儿,4,3,80,370.0,yuan2,yuan
单,dān,single/individual/only/lone,八,8,3,1232,389.0,dan1,dan
调,diào,transfer/move/change/tune,言,10,3,2123,400.0,diao4,diao
算,suàn,count/calculate/figure/plan,竹,14,3,3121,403.0,suan4,suan
需,xū,need/require/must,雨,14,3,3095,408.0,xu1,xu
花,huā,flower/blossoms,艸,7,3,665,410.0,hua1,hua
城,chéng,castle/city/town/municipality,土,9,3,1373,413.0,cheng2,cheng
级,jí,level/rank/class/grade,糸,6,3,594,415.0,ji2,ji
复,fù,return/repeat/repeatedly,夊,9,3,1553,426.0,fu4,fu
满,mǎn,fill/full/satisfied,水,13,3,3005,436.0,man3,man
越,yuè,exceed/go beyond/the more ...,走,12,3,2514,440.0,yue4,yue
容,róng,looks/appearance/figure/form,宀,10,3,2105,442.0,rong2,rong
照,zhào,shine/illumine/reflect,火,13,3,2911,443.0,zhao4,zhao
须,xū,must/have to/necessary,彡,9,3,1585,444.0,xu1,xu
包,bāo,wrap/pack/bundle/package,勹,5,3,298,454.0,bao1,bao
片,piàn,slice/splinter/strip/rad. 91,片,4,3,130,455.0,pian4,pian
史,shǐ,history/chronicle/annals,口,5,3,248,456.0,shi3,shi
乎,hū,interrogative or exclamatory final particle,丿,5,3,280,458.0,hu1,hu
查,chá,investigate/examine/seek into,木,9,3,1431,459.0,cha2,cha
轻,qīng,light/easy/simple/gentle,車,9,3,1463,460.0,qing1,qing
易,yì,change/easy,日,8,3,1088,461.0,yi4,yi
除,chú,eliminate/remove/except,阜,9,3,1732,464.0,chu2,chu
阿,ā,,阜,7,3,913,471.0,a1,a
李,lǐ,plum/judge/surname,木,7,3,688,472.0,li3,li
图,tú,diagram/chart/map/picture,囗,8,3,1119,476.0,tu2,tu
历,lì,history/calendar,厂,4,3,95,480.0,li4,li
突,tū,suddenly/abruptly/unexpectedly,穴,9,3,1700,484.0,tu1,tu
周,zhōu,Zhou dynasty/circumference,口,8,3,1192,490.0,zhou1,zhou
较,jiào,compare/comparatively/more,車,10,3,1876,491.0,jiao4,jiao
注,zhù,concentrate/focus/direct,水,8,3,1252,492.0,zhu4,zhu
选,xuǎn,choose/select/elect/election,辵,9,3,1545,499.0,xuan3,xuan
响,xiǎng,make sound/make noise/sound,口,9,3,1509,503.0,xiang3,xiang
参,cān,take part in/intervene/ginseng,厶,8,3,1334,507.0,can1,can
半,bàn,half,十,5,3,307,513.0,ban4,ban
节,jié,knot/node/joint/section,艸,5,3,209,514.0,jie2,jie
护,hù,protect/guard/defend/shelter,手,7,3,649,529.0,hu4,hu
音,yīn,sound/tone/pitch/pronunciation,音,9,3,1632,540.0,yin1,yin
跟,gēn,heel/to follow/accompany/with,足,13,3,2920,541.0,gen1,gen
留,liú,stop/halt/stay/detain/keep,田,10,3,2009,554.0,liu2,liu
讲,jiǎng,explain/discuss/talk,言,6,3,550,555.0,jiang3,jiang
料,liào,consider/conjecture/materials/ingredients,斗,10,3,2054,557.0,liao4,liao
终,zhōng,end/finally/in the end,糸,8,3,1344,558.0,zhong1,zhong
答,dá,answer/reply/return/assent to,竹,12,3,2687,559.0,da2,da
黄,huáng,yellow/surname,黃,11,3,2201,561.0,huang2,huang
奇,qí,strange/unusual/uncanny/occult,大,8,3,1050,563.0,qi2,qi
段,duàn,section/piece/division,殳,9,3,1555,567.0,duan4,duan
故,gù,ancient/old/reason/because,攴,9,3,1418,572.0,gu4,gu
河,hé,river/stream/yellow river,水,8,3,1244,574.0,he2,he
害,hài,injure/harm/destroy/kill,宀,10,3,2097,579.0,hai4,hai
双,shuāng,set of two/pair/couple/both,又,4,3,187,581.0,shuang1,shuang
境,jìng,boundary/frontier/area/region,土,14,3,3061,582.0,jing4,jing
愿,yuàn,sincere/honest/virtuous,心,14,3,3094,598.0,yuan4,yuan
网,wǎng,net/network/KangXi radical 122,网,6,3,442,605.0,wang3,wang
育,yù,produce/give birth to/educate,肉,8,3,1225,609.0,yu4,yu
船,chuán,ship/boat/vessel,舟,11,3,2345,614.0,chuan2,chuan
脸,liǎn,face/cheek/reputation,肉,11,3,2359,615.0,lian3,lian
刻,kè,carve/engrave/quarter hour,刀,8,3,1224,618.0,ke4,ke
刚,gāng,hard/tough/rigid/strong,刀,6,3,441,621.0,gang1,gang
般,bān,sort/manner/kind/category,舟,10,3,1980,629.0,ban1,ban
怕,pà,to fear/be afraid of/apprehensive,心,8,3,1269,631.0,pa4,pa
假,jiǎ,falsehood/deception/vacation,人,11,3,2337,636.0,jia3,jia
久,jiǔ,long time (ago)/time passage/grow late,丿,3,3,47,637.0,jiu3,jiu
拿,ná,take/hold/grasp/bring/with,手,10,3,1983,645.0,na2,na
阳,yáng,,阜,6,3,572,650.0,yang2,yang
急,jí,quick/quickly/urgent/pressing,心,9,3,1609,657.0,ji2,ji
居,jū,live/dwell/reside/sit,尸,8,3,1308,678.0,ju1,ju
环,huán,jade ring or bracelet/ring,玉,8,3,945,681.0,huan2,huan
树,shù,tree/plant/set up/establish,木,9,3,1439,697.0,shu4,shu
层,céng,storey/layer/floor/stratum,尸,7,3,902,699.0,ceng2,ceng
句,jù,sentence,口,5,3,288,707.0,ju4,ju
简,jiǎn,simple/terse/succinct/a letter,竹,13,3,2954,716.0,jian3,jian
卡,kǎ,card/punch card/calorie,卜,5,3,226,717.0,qia3,qia
担,dān,carry/bear/undertake,手,8,3,963,720.0,dan4,dan
静,jìng,quiet/still/motionless/gentle,青,14,3,3049,722.0,jing4,jing
检,jiǎn,check/examine,木,11,3,2227,731.0,jian3,jian
差,chà,to differ/different/wrong/nearly/almost/an officer,工,9,3,1640,732.0,cha4,chai
角,jiǎo,horn/angle/corner/point,角,7,3,814,736.0,jiao3,jiao
皮,pí,skin/hide/fur/feather/outer,皮,5,3,336,741.0,pi2,pi
啊,a,exclamatory particle,口,10,3,1915,753.0,a5,a
超,chāo,jump over/leap over/surpass,走,12,3,2517,754.0,chao1,chao
银,yín,silver/cash/money/wealth,金,11,3,2309,757.0,yin2,yin
怪,guài,strange/unusual/peculiar,心,8,3,1271,775.0,guai4,guai
香,xiāng,fragrant/sweet smelling/incense,香,9,3,1548,776.0,xiang1,xiang
铁,tiě,iron/strong/solid/firm,金,10,3,1932,779.0,tie3,tie
草,cǎo,grass/straw/thatch/herbs,艸,9,3,1408,789.0,cao3,cao
脚,jiǎo,leg/foot/base/leg/foundation,肉,11,3,2355,790.0,jiao3,jiao
酒,jiǔ,wine/spirits/liquor/alcoholic beverage,酉,10,3,2069,797.0,jiu3,jiu
顾,gù,look back/look at/look after,頁,10,3,1874,815.0,gu4,gu
换,huàn,change,手,10,3,1806,824.0,huan4,huan
闻,wén,hear/smell/make known/news,門,9,3,1636,825.0,wen2,wen
坏,huài,rotten/spoilt/bad/broken down,土,7,3,616,832.0,huai4,pi
楚,chǔ,name of feudal state/clear,木,13,3,2864,859.0,chu3,chu
楼,lóu,building of two or more stories,木,13,3,2870,876.0,lou2,lou
画,huà,a painting/picture/drawing/to draw,田,8,3,1036,883.0,hua4,hua
耳,ěr,ear/merely/only/handle,耳,6,3,369,887.0,er3,er
短,duǎn,short/brief/deficient/lacking,矢,12,3,2669,889.0,duan3,duan
遇,yù,meet/come across/encounter,辵,12,3,2622,899.0,yu4,yu
康,kāng,peaceful/quiet/happy/healthy,广,11,3,2385,900.0,kang1,kang
旧,jiù,old/ancient/former/past,日,5,3,232,915.0,jiu4,jiu
春,chūn,spring/wanton,日,9,3,1355,921.0,chun1,chun
附,fù,adhere to/append/rely on near to,阜,7,3,916,923.0,fu4,fu
礼,lǐ,social custom/manners/courtesy,示,5,3,318,926.0,li3,li
板,bǎn,plank/board/iron or tin plate,木,8,3,1025,930.0,ban3,ban
婚,hūn,get married/marriage/wedding,女,11,3,2481,942.0,hun1,hun
鲜,xiān,fresh/delicious/attractive,魚,14,3,3135,958.0,xian1,xian
词,cí,words/phrase/expression,言,7,3,897,959.0,ci2,ci
择,zé,select/choose/pick out,手,8,3,992,961.0,ze2,ze
健,jiàn,strong/robust/healthy/strength,人,10,3,1969,979.0,jian4,jian
借,jiè,borrow/lend/make pretext of,人,10,3,1955,984.0,jie4,jie
园,yuán,garden/park/orchard,囗,7,3,726,988.0,yuan2,yuan
牙,yá,tooth/molars/teeth/serrated,牙,4,3,102,997.0,ya2,ya
束,shù,bind/control/restrain/bale,木,7,3,694,998.0,shu4,shu
练,liàn,to practice/drill/exercise/train,糸,8,3,1337,1005.0,lian4,lian
爷,yé,father/grandfather,父,6,3,492,1007.0,ye2,ye
嘴,zuǐ,mouth/lips,口,16,3,3342,1010.0,zui3,zui
戏,xì,theatrical play/show,戈,6,3,584,1033.0,xi4,xi
典,diǎn,law/canon/documentation/classic/scripture,八,8,3,1092,1044.0,dian3,dian
盘,pán,tray/plate/dish/examine,皿,11,3,2343,1049.0,pan2,pan
忘,wàng,forget/neglect/miss/omit,心,7,3,844,1056.0,wang4,wang
赛,sài,compete/contend/contest/race,宀,14,3,3172,1064.0,sai4,sai
趣,qù,,走,15,3,3194,1065.0,qu4,qu
迎,yíng,receive/welcome/greet,辵,7,3,822,1069.0,ying2,ying
冰,bīng,ice/ice-cold,冫,6,3,513,1070.0,bing1,bing
努,nǔ,to exert/strive/make an effort/to pout,力,7,3,924,1081.0,nu3,nu
绿,lǜ,green/chlorine,糸,11,3,2498,1088.0,lv4,lu
街,jiē,street/road/thoroughfare,行,12,3,2702,1101.0,jie1,jie
灯,dēng,lantern/lamp,火,6,3,534,1115.0,deng1,deng
夏,xià,summer/great/grand/big,夊,10,3,1862,1126.0,xia4,xia
秋,qiū,autumn/fall/year,禾,9,3,1550,1151.0,qiu1,qiu
末,mò,final/last/end/insignificant,木,5,3,193,1164.0,mo4,mo
蓝,lán,blue/indigo plant/surname,艸,13,3,2852,1190.0,lan2,lan
烧,shāo,burn/bake/heat/roast,火,10,3,2060,1201.0,shao1,shao
哭,kū,weep/cry/wail,口,10,3,1907,1210.0,ku1,ku
冒,mào,risk/brave/dare,冂,9,3,1486,1222.0,mao4,mou
惯,guàn,habit/custom/habitually/usual,心,11,3,2450,1226.0,guan4,guan
鸟,niǎo,bird/KangXi radical 196,鳥,5,3,296,1263.0,niao3,niao
季,jì,quarter of year/season/surname,子,8,3,1132,1279.0,ji4,ji
鼻,bí,nose/first/KangXi radical 209,鼻,14,3,3128,1335.0,bi2,bi
腿,tuǐ,legs/thighs,肉,13,3,2976,1351.0,tui3,tui
迟,chí,late/tardy/slow/delay,辵,7,3,906,1374.0,chi2,chi
辆,liàng,numerary adjunct for vehicles,車,11,3,2251,1375.0,liang4,liang
净,jìng,clean/pure/cleanse,冫,8,3,1221,1377.0,jing4,jing
冬,dōng,winter/11th lunar month,冫,5,3,295,1384.0,dong1,dong
骑,qí,ride horseback/mount/cavalry,馬,11,3,2489,1398.0,qi2,qi
叔,shū,,又,8,3,1065,1422.0,shu1,shu
爬,pá,crawl/creep/climb/scramble,爪,8,3,1161,1426.0,pa2,pa
扫,sǎo,sweep/clear away/exterminate,手,6,3,365,1435.0,sao3,sao
箱,xiāng,case/box/chest/trunk,竹,15,3,3265,1453.0,xiang1,xiang
舒,shū,open up/unfold/stretch out/comfortable/easy,舌,12,3,2707,1459.0,shu1,shu
绩,jī,spin/achievements,糸,11,3,2486,1547.0,ji1,ji
饮,yǐn,drink/swallow/kind of drink,食,7,3,824,1569.0,yin3,yin
朵,duǒ,cluster of flowers/earlobe,木,6,3,497,1571.0,duo3,duo
鞋,xié,shoes/footwear in general,革,15,3,3207,1638.0,xie2,xie
邮,yóu,postal/mail/post office,邑,7,3,732,1652.0,you2,you
邻,lín,neighbor/neighborhood,邑,7,3,801,1659.0,lin2,lin
聪,cōng,intelligent/clever/bright,耳,15,3,3206,1669.0,cong1,cong
梯,tī,ladder/steps/stairs/lean,木,11,3,2229,1672.0,ti1,ti
瓶,píng,jug/pitcher/vase/jar/bottle,瓦,10,3,2051,1703.0,ping2,ping
疼,téng,aches/pains/be fond of/love,疒,10,3,2031,1710.0,teng2,teng
熊,xióng,a bear/brilliant/bright/surname,火,14,3,3185,1741.0,xiong2,xiong
帽,mào,hat/cap/cap-like tops,巾,12,3,2649,1750.0,mao4,mao
炼,liàn,smelt/refine/distill/condense,火,9,3,1655,1763.0,lian4,lian
搬,bān,transfer/move/remove/shift,手,13,3,2840,1766.0,ban1,ban
刷,shuā,brush/clean with brush/scrub,刀,8,3,1310,1824.0,shua1,shua
瘦,shòu,thin/emaciated/lean/meager,疒,14,3,3147,1841.0,shou4,shou
斤,jīn,a catty (approximately 500 g)/an axe/keen/shrewd/KangXi radical number 69,斤,4,3,137,1866.0,jin1,jin
胖,pàng,fat/obese/fatty,肉,9,3,1596,1893.0,pang4,pang
饿,è,hungry/greedy for/hunger,食,10,3,2012,1911.0,e4,e
聊,liáo,somewhat/slightly/at least,耳,11,3,2196,1932.0,liao2,liao
碗,wǎn,bowl/small dish,石,13,3,2881,1939.0,wan3,wan
渴,kě,thirsty/parched/yearn/pine,水,12,3,2758,1972.0,ke3,ke
饱,bǎo,,食,8,3,1202,1998.0,bao3,bao
甜,tián,sweet/sweetness,甘,11,3,2311,2020.0,tian2,tian
矮,ǎi,short/dwarf/low,矢,13,3,2946,2027.0,ai3,ai
裤,kù,trousers/pants,衣,12,3,2791,2090.0,ku4,ku
衫,shān,shirt/robe/gown/jacket,衣,8,3,1293,2153.0,shan1,shan
伞,sǎn,umbrella/parasol/parachute,人,6,3,493,2202.0,san3,san
姨,yí,,女,9,3,1737,2287.0,yi2,yi
刮,guā,shave/pare off/scrape,刀,8,3,1129,2350.0,gua1,gua
糕,gāo,cakes/pastry,米,16,3,3375,2413.0,gao1,gao
裙,qún,skirt/apron/petticoat,衣,12,3,2792,2431.0,qun2,qun
衬,chèn,underwear/inner garments,衣,8,3,1292,2502.0,chen4,chen
锻,duàn,forge metal/temper/refine,金,14,3,3114,2531.0,duan4,duan
澡,zǎo,wash/bathe,水,16,3,3378,2695.0,zao3,zao
啤,pí,beer,口,11,3,2289,2849.0,pi2,pi
蕉,jiāo,banana/plantain,艸,15,3,3209,3104.0,jiao1,jiao
筷,kuài,chopsticks,竹,13,3,2955,3110.0,kuai4,kuai
之,zhī,marks preceding phrase as modifier of following phrase/it/him her/them/go to,丿,3,4,58,44.0,zhi1,zhi
部,bù,part/division/section,邑,10,4,2044,84.0,bu4,bu
无,wú,negative/no/not/KangXi radical 71,无,4,4,81,105.0,wu2,wu
与,yǔ,and/with/to/for/give/grant,一,3,4,34,108.0,yu3,yu
民,mín,people/subjects/citizens,氏,5,4,327,113.0,min2,min
此,cǐ,this/these/in this case/then,止,6,4,411,116.0,ci3,ci
使,shǐ,cause/send on a mission/order/envoy/messenger/ambassador,人,8,4,1139,119.0,shi3,shi
性,xìng,nature/character/sex,心,8,4,1268,122.0,xing4,xing
全,quán,maintain/keep whole or intact,入,6,4,485,124.0,quan2,quan
将,jiāng,will/going to/future/general,爿,9,4,1617,132.0,jiang1,jiang
由,yóu,cause/reason/from,田,5,4,245,136.0,you2,you
并,bìng,,干,6,4,531,141.0,bing4,bing
美,měi,beautiful/pretty/pleasing,羊,9,4,1642,151.0,mei3,mei
利,lì,gains/advantage/profit/merit,刀,7,4,763,155.0,li4,li
合,hé,combine/unite/join/gather,口,6,4,488,171.0,he2,he
内,nèi,inside,入,4,4,116,175.0,nei4,nei
度,dù,degree/system/manner/to consider,广,9,4,1622,184.0,du4,du
任,rèn,trust to/rely on/appoint/to bear/duty/office/allow,人,6,4,467,186.0,ren4,ren
海,hǎi,sea/ocean/maritime,水,10,4,2074,189.0,hai3,hai
通,tōng,pass through/common/communicate,辵,10,4,2145,190.0,tong1,tong
原,yuán,source/origin/beginning,厂,10,4,1868,193.0,yuan2,yuan
及,jí,extend/reach/come up to/and,又,3,4,52,198.0,ji2,ji
论,lùn,debate/discuss/discourse,言,6,4,556,205.0,lun4,lun
处,chù,place/locale/department,夂,5,4,294,206.0,chu4,chu
各,gè,each/individually/every/all,口,6,4,506,209.0,ge4,ge
入,rù,enter/come in(to)/join,入,2,4,11,210.0,ru4,ru
活,huó,live/exist/survive/lively,水,9,4,1672,219.0,huo2,huo
尔,ěr,you/that/those/final particle,小,5,4,286,220.0,er3,er
何,hé,what/why/where/which/how,人,7,4,771,229.0,he2,he
反,fǎn,reverse/opposite/contrary/anti,又,4,4,139,237.0,fan3,fan
受,shòu,receive/accept/get/bear/stand,又,8,4,1174,238.0,shou4,shou
量,liàng,measure/quantity/capacity,里,12,4,2616,241.0,liang4,liang
建,jiàn,build/establish/erect/found,廴,8,4,1302,244.0,jian4,jian
计,jì,plan/plot/strategem/scheme,言,4,4,168,251.0,ji4,ji
管,guǎn,pipe/tube/duct/woodwind music,竹,14,4,3123,252.0,guan3,guan
资,zī,property/wealth/capital,貝,10,4,2039,257.0,zi1,zi
命,mìng,life/destiny/fate/luck/an order/instruction,口,8,4,1168,258.0,ming4,ming
金,jīn,gold/metals in general/money,金,8,4,1166,260.0,jin1,jin
指,zhǐ,finger/toe/point/indicate,手,9,4,1389,261.0,zhi3,zhi
克,kè,gram/overcome/transliteration,儿,7,4,675,262.0,ke4,ke
许,xǔ,allow/permit/promise/betroth,言,6,4,554,263.0,xu3,xu
区,qū,area/district/region/ward,匸,4,4,94,265.0,qu1,qu
保,bǎo,protect/safeguard/defend/care,人,9,4,1562,266.0,bao3,bao
至,zhì,reach/arrive/extremely/very,至,6,4,410,267.0,zhi4,zhi
队,duì,team/group/army unit,阜,4,4,180,268.0,dui4,dui
社,shè,god of the soil and altars to him/group of families/company/society,示,7,4,890,270.0,she4,she
展,zhǎn,open/unfold/stretch/extend,尸,10,4,2131,275.0,zhan3,zhan
科,kē,section/department/science,禾,9,4,1551,277.0,ke1,ke
基,jī,foundation/base,土,11,4,2193,280.0,ji1,ji
则,zé,rule/law/regulation/grades,刀,6,4,440,284.0,ze2,ze
却,què,still/but/decline/retreat,卩,7,4,658,287.0,que4,que
光,guāng,light/brilliant/shine/only,儿,6,4,417,290.0,guang1,guang
即,jí,promptly/quickly/immediately,卩,7,4,901,293.0,ji2,ji
象,xiàng,elephant/ivory/figure/image,豕,11,4,2361,300.0,xiang4,xiang
式,shì,style/system/formula/rule,弋,6,4,349,303.0,shi4,shi
程,chéng,journey/trip/schedule/agenda,禾,12,4,2677,314.0,cheng2,cheng
死,sǐ,die/dead/death,歹,6,4,400,317.0,si3,si
交,jiāo,mix/intersect/exchange/communicate/deliver,亠,6,4,519,320.0,jiao1,jiao
规,guī,rules/regulations/customs/law,見,8,4,952,321.0,gui1,gui
取,qǔ,take/receive/obtain/select,又,8,4,997,323.0,qu3,qu
拉,lā,pull/drag/seize/hold/lengthen,手,8,4,981,324.0,la1,la
格,gé,pattern/standard/form/style,木,10,4,1845,325.0,ge2,ge
术,shù,art/skill/special feat/method/technique,木,5,4,211,328.0,zhu2,zhu
确,què,sure/certain/real/true,石,12,4,2591,331.0,que4,que
传,chuán,summon/propagate/transmit,人,6,4,455,332.0,chuan2,chuan
观,guān,see/observe/view/appearance,見,6,4,586,334.0,guan1,guan
切,qiè,cut/mince/slice/carve,刀,4,4,107,337.0,qie1,qie
导,dǎo,direct/guide/lead/conduct,寸,6,4,567,343.0,dao3,dao
争,zhēng,dispute/fight/contend/strive,亅,6,4,508,344.0,zheng1,zheng
改,gǎi,change/alter/improve/remodel,攴,7,4,908,350.0,gai3,gai
收,shōu,gather together/collect/harvest,攴,6,4,573,351.0,shou1,shou
言,yán,words/speech/speak/say,言,7,4,826,355.0,yan2,yan
联,lián,connect/join/associate/ally,耳,12,4,2544,356.0,lian2,lian
持,chí,sustain/support/hold/grasp,手,9,4,1367,357.0,chi2,chi
济,jì,help/aid/relieve/ferry/cross,水,9,4,1678,360.0,ji4,ji
亲,qīn,relatives/parents/intimate the hazel nut or filbert tree a thorny tree,立,9,4,1631,362.0,qin1,qin
林,lín,forest/grove/surname,木,8,4,1018,364.0,lin2,lin
士,shì,scholar/gentleman/soldier,士,3,4,28,372.0,shi4,shi
证,zhèng,prove/confirm/verify/proof,言,7,4,885,373.0,zheng4,zheng
失,shī,lose/make mistake/neglect,大,5,4,265,375.0,shi1,shi
转,zhuǎn,shift/move/turn,車,8,4,1059,376.0,zhuan3,zhuan
存,cún,exist/live/be/survive/remain,子,6,4,391,384.0,cun2,cun
台,tái,platform/unit/term of address,口,5,4,342,388.0,tai2,tai
具,jù,tool/implement/draw up/write,八,8,4,1077,391.0,ju4,ju
流,liú,flow/circulate/drift/class,水,10,4,2080,396.0,liu2,liu
连,lián,join/connect/continuous/even,辵,7,4,708,399.0,lian2,lian
深,shēn,deep/depth/far/very/extreme,水,11,4,2432,401.0,shen1,shen
质,zhì,matter/material/substance,厂,8,4,1157,404.0,zhi2,zhi
价,jià,price/value,人,6,4,469,409.0,jia4,jie
整,zhěng,orderly/neat/tidy/whole,攴,16,4,3333,416.0,zheng3,zheng
况,kuàng,condition/situation/furthermore,冫,7,4,830,419.0,kuang4,kuang
亚,yà,Asia/second,一,6,4,373,420.0,ya4,ya
技,jì,skill/ability/talent/ingenuity,手,7,4,615,422.0,ji4,ji
际,jì,border/boundary/juncture,阜,7,4,911,423.0,ji4,ji
约,yuē,treaty/agreement/covenant,糸,6,4,593,424.0,yue1,yue
示,shì,show/manifest/demonstrate,示,5,4,194,425.0,shi4,shi
究,jiū,examine/investigate,穴,7,4,881,429.0,jiu1,jiu
线,xiàn,line/thread/wire/clue,糸,8,4,1336,430.0,xian4,xian
断,duàn,sever/cut off/interrupt,斤,11,4,2405,434.0,duan4,duan
精,jīng,essence/semen/spirit,米,14,4,3153,435.0,jing1,jing
支,zhī,disperse/pay/support/branch,支,4,4,89,437.0,zhi1,zhi
消,xiāo,vanish/die out/melt away,水,10,4,2071,439.0,xiao1,xiao
增,zēng,increase/add to/augment,土,15,4,3204,446.0,zeng1,zeng
研,yán,grind/rub/study/research,石,9,4,1446,447.0,yan2,yan
功,gōng,achievement/merit/good result,力,5,4,202,452.0,gong1,gong
广,guǎng,wide/extensive/broad/rad. 53,广,3,4,53,468.0,guang3,yan
标,biāo,mark/symbol/label/sign/stand the bole of a tree,木,9,4,1424,473.0,biao1,biao
谈,tán,talk/conversation/surname,言,10,4,2127,474.0,tan2,tan
引,yǐn,to pull/draw out/attract/to stretch,弓,4,4,176,479.0,yin3,yin
首,shǒu,head/first/leader/chief/a poem,首,9,4,1651,481.0,shou3,shou
局,jú,bureau/office/circumstance,尸,7,4,907,483.0,ju2,ju
专,zhuān,monopolize/take sole possession,一,4,4,83,485.0,zhuan1,zhuan
费,fèi,expenses/expenditures/fee,貝,9,4,1726,486.0,fei4,fei
尽,jǐn,exhaust/use up/deplete,尸,6,4,566,488.0,jin3,jin
另,lìng,another/separate/other,口,5,4,256,489.0,ling4,ling
仅,jǐn,only/merely/solely/just,人,4,4,136,494.0,jin3,jin
落,luò,fall/drop/net income/surplus,艸,12,4,2557,496.0,luo4,luo
随,suí,follow/listen to/submit to,阜,11,4,2476,498.0,sui2,sui
列,liè,a line/to arrange in order/classify,刀,6,4,399,500.0,lie4,lie
推,tuī,push/expel/push forward,手,11,4,2174,505.0,tui1,tui
众,zhòng,multitude/crowd/masses/public,人,6,4,491,510.0,zhong4,zhong
案,àn,table/bench/legal case,木,10,4,2107,518.0,an4,an
划,huà,to row or paddle boat/to scratch,刀,6,4,407,522.0,hua2,hua
律,lǜ,statute/principle/regulation,彳,9,4,1583,526.0,lv4,lu
态,tài,manner/bearing/attitude,心,8,4,1052,528.0,tai4,tai
验,yàn,test/examine/inspect/verify,馬,10,4,2152,534.0,yan4,yan
责,zé,,貝,8,4,948,535.0,ze2,ze
够,gòu,enough/adequate,夕,11,4,2362,538.0,gou4,gou
章,zhāng,composition/chapter/section,立,11,4,2389,539.0,zhang1,zhang
志,zhì,purpose/will/determination/annals,心,7,4,651,542.0,zhi4,zhi
底,dǐ,bottom/underneath/underside,广,8,4,1212,543.0,di3,di
严,yán,strict/rigorous/rigid/stern,一,7,4,671,545.0,yan2,yan
例,lì,precedent/example/regulation,人,8,4,1140,547.0,li4,li
族,zú,a family clan/ethnic group/tribe,方,11,4,2392,549.0,zu2,zu
供,gōng,supply/provide for/offer in worship,人,8,4,1138,550.0,gong1,gong
效,xiào,result/effect/effectiveness,攴,10,4,2034,551.0,xiao4,xiao
续,xù,continue/carry on/succeed,糸,11,4,2488,552.0,xu4,xu
紧,jǐn,tense/tight/taut/firm/secure,糸,10,4,1884,560.0,jin3,jin
绝,jué,to cut/sever/break off/terminate,糸,9,4,1762,562.0,jue2,jue
察,chá,examine/investigate/notice,宀,14,4,3174,564.0,cha2,cha
母,mǔ,mother/female elders/female,毋,5,4,345,565.0,mu3,mu
批,pī,comment/criticize/wholesale,手,7,4,622,569.0,pi1,pi
按,àn,put hand on/press down with hand,手,9,4,1395,573.0,an4,an
围,wéi,surround/encircle/corral,囗,7,4,728,576.0,wei2,wei
江,jiāng,large river/yangzi/surname,水,6,4,538,577.0,jiang1,jiang
纪,jì,record/annal/historical account,糸,6,4,595,584.0,ji4,ji
举,jǔ,raise/lift up/recommend,丶,9,4,1693,586.0,ju3,ju
父,fù,father/KangXi radical 88,父,4,4,141,589.0,fu4,fu
